"resolved_at","agent","ticket_id","created_at","priority","num_interactions","issuecat","status","channel"
\N,"Sneha","TCK0701000","2025-07-01 00:13:00.000000000","Medium",7,"Payment Failure","Open","Chat"
"2025-07-01 02:47:00.000000000","Kavya","TCK0701001","2025-07-01 01:24:00.000000000","Medum",8,"Account Locked","Resolved","Web Form"
"2025-07-01 19:25:00.000000000","Rohit","TCK0701002","2025-07-01 01:49:00.000000000","Lw",3,"Bug Report","Resolved","Web Form"
"2025-07-02 11:00:00.000000000","Ananya","TCK0701004","2025-07-01 03:03:00.000000000","Hgh",5,"Bug Report","Resolved","Chat"
"2025-07-02 00:35:00.000000000","Arjun","TCK0701005","2025-07-01 03:07:00.000000000","High",1,"Bug Report","Resolved","Email"
"2025-07-01 16:41:00.000000000","Kavya","TCK0701006","2025-07-01 03:20:00.000000000","Low",6,"Payment Failure","Resolved","Email"
"2025-07-02 12:47:00.000000000","Arjun","TCK0701007","2025-07-01 04:16:00.000000000","High",2,"Payment Failure","Resolved","Web Form"
"2025-07-02 12:47:00.000000000","Arjun","TCK0701007","2025-07-01 04:16:00.000000000","High",2,"Payment Failure","Resolved","Web Form"
"2025-07-02 02:42:00.000000000","Kavya","TCK0701010","2025-07-01 05:35:00.000000000","Low",6,"Payment Failure","Resolved","Email"
"2025-07-01 06:52:00.000000000","Kavya","TCK0701011","2025-07-01 05:56:00.000000000","Medium",2,"Feature Request","Resolved","Email"
"2025-07-02 05:51:00.000000000","Rohit","TCK0701012","2025-07-01 06:01:00.000000000","Medium",3,"Login Issue","Resolved","Web Form"
"2025-07-02 04:55:00.000000000","Rohit","TCK0701013","2025-07-01 06:57:00.000000000","Medium",1,"Account Locked","Resolved","Email"
\N,"Rohit","TCK0701014","2025-07-01 07:16:00.000000000","High",5,"Payment Failure","Open","Chat"
\N,"Ananya","TCK0701015","2025-07-01 07:26:00.000000000","Medium",6,"Payment Failure","Open","Web Form"
"2025-07-02 03:20:00.000000000","Kavya","TCK0701017","2025-07-01 07:50:00.000000000","Lw",4,"Login Issue","Resolved","Chat"
"2025-07-02 12:07:00.000000000","Arjun","TCK0701018","2025-07-01 07:53:00.000000000","Lw",4,"Bug Report","Resolved","Phone"
"2025-07-01 11:41:00.000000000","Rohit","TCK0701020","2025-07-01 08:25:00.000000000","Medium",7,"Account Locked","Resolved","Web Form"
\N,"Sneha","TCK0701021","2025-07-01 08:53:00.000000000","Medium",1,"Bug Report","Open","Phone"
"2025-07-02 04:21:00.000000000","Kavya","TCK0701022","2025-07-01 09:48:00.000000000","Low",8,"Login Issue","Resolved","Phone"
"2025-07-01 22:32:00.000000000","Arjun","TCK0701023","2025-07-01 09:58:00.000000000","Medium",1,"Bug Report","Resolved","Web Form"
"2025-07-02 11:25:00.000000000","Rohit","TCK0701025","2025-07-01 10:23:00.000000000","High",1,"Payment Failure","Resolved","Chat"
\N,"Sneha","TCK0701026","2025-07-01 10:25:00.000000000","Medium",4,"Feature Request","Open","Web Form"
"2025-07-02 17:21:00.000000000","Rohit","TCK0701027","2025-07-01 10:28:00.000000000","Medium",2,"Feature Request","Resolved","Phone"
"2025-07-02 17:21:00.000000000","Rohit","TCK0701027","2025-07-01 10:28:00.000000000","Medium",2,"Feature Request","Resolved","Phone"
"2025-07-01 23:19:00.000000000","Arjun","TCK0701028","2025-07-01 11:09:00.000000000","High",5,"Payment Failure","Resolved","Chat"
"2025-07-01 23:19:00.000000000","Arjun","TCK0701028","2025-07-01 11:09:00.000000000","High",5,"Payment Failure","Resolved","Chat"
"2025-07-02 22:37:00.000000000","Ananya","TCK0701029","2025-07-01 11:10:00.000000000","Lw",7,"Bug Report","Resolved","Chat"
"2025-07-02 02:50:00.000000000","Kavya","TCK0702000","2025-07-02 00:01:00.000000000","Low",8,"Bug Report","Resolved","Chat"
"2025-07-02 07:50:00.000000000","Ananya","TCK0702001","2025-07-02 00:07:00.000000000","Medium",8,"Feature Request","Resolved","Phone"
\N,"Arjun","TCK0702002","2025-07-02 00:16:00.000000000","Medium",1,"Login Issue","Open","Web Form"
