"ticket_id","created_at","resolved_at","priority","agent","num_interactions","issuecat","channel","status"
"TCK0701000","2025-07-01 00:13:00.000000000",\N,"Medium","Sneha",7,"Payment Failure","Chat","Open"
"TCK0701001","2025-07-01 01:24:00.000000000","2025-07-01 02:47:00.000000000","Medum","Kavya",8,"Account Locked","Web Form","Resolved"
"TCK0701002","2025-07-01 01:49:00.000000000","2025-07-01 19:25:00.000000000","Lw","Rohit",3,"Bug Report","Web Form","Resolved"
"TCK0701004","2025-07-01 03:03:00.000000000","2025-07-02 11:00:00.000000000","Hgh","Ananya",5,"Bug Report","Chat","Resolved"
"TCK0701005","2025-07-01 03:07:00.000000000","2025-07-02 00:35:00.000000000","High","Arjun",1,"Bug Report","Email","Resolved"
"TCK0701006","2025-07-01 03:20:00.000000000","2025-07-01 16:41:00.000000000","Low","Kavya",6,"Payment Failure","Email","Resolved"
"TCK0701007","2025-07-01 04:16:00.000000000","2025-07-02 12:47:00.000000000","High","Arjun",2,"Payment Failure","Web Form","Resolved"
"TCK0701007","2025-07-01 04:16:00.000000000","2025-07-02 12:47:00.000000000","High","Arjun",2,"Payment Failure","Web Form","Resolved"
"TCK0701010","2025-07-01 05:35:00.000000000","2025-07-02 02:42:00.000000000","Low","Kavya",6,"Payment Failure","Email","Resolved"
"TCK0701011","2025-07-01 05:56:00.000000000","2025-07-01 06:52:00.000000000","Medium","Kavya",2,"Feature Request","Email","Resolved"
"TCK0701012","2025-07-01 06:01:00.000000000","2025-07-02 05:51:00.000000000","Medium","Rohit",3,"Login Issue","Web Form","Resolved"
"TCK0701013","2025-07-01 06:57:00.000000000","2025-07-02 04:55:00.000000000","Medium","Rohit",1,"Account Locked","Email","Resolved"
"TCK0701014","2025-07-01 07:16:00.000000000",\N,"High","Rohit",5,"Payment Failure","Chat","Open"
"TCK0701015","2025-07-01 07:26:00.000000000",\N,"Medium","Ananya",6,"Payment Failure","Web Form","Open"
"TCK0701017","2025-07-01 07:50:00.000000000","2025-07-02 03:20:00.000000000","Lw","Kavya",4,"Login Issue","Chat","Resolved"
"TCK0701018","2025-07-01 07:53:00.000000000","2025-07-02 12:07:00.000000000","Lw","Arjun",4,"Bug Report","Phone","Resolved"
"TCK0701020","2025-07-01 08:25:00.000000000","2025-07-01 11:41:00.000000000","Medium","Rohit",7,"Account Locked","Web Form","Resolved"
"TCK0701021","2025-07-01 08:53:00.000000000",\N,"Medium","Sneha",1,"Bug Report","Phone","Open"
"TCK0701022","2025-07-01 09:48:00.000000000","2025-07-02 04:21:00.000000000","Low","Kavya",8,"Login Issue","Phone","Resolved"
"TCK0701023","2025-07-01 09:58:00.000000000","2025-07-01 22:32:00.000000000","Medium","Arjun",1,"Bug Report","Web Form","Resolved"
"TCK0701025","2025-07-01 10:23:00.000000000","2025-07-02 11:25:00.000000000","High","Rohit",1,"Payment Failure","Chat","Resolved"
"TCK0701026","2025-07-01 10:25:00.000000000",\N,"Medium","Sneha",4,"Feature Request","Web Form","Open"
"TCK0701027","2025-07-01 10:28:00.000000000","2025-07-02 17:21:00.000000000","Medium","Rohit",2,"Feature Request","Phone","Resolved"
"TCK0701027","2025-07-01 10:28:00.000000000","2025-07-02 17:21:00.000000000","Medium","Rohit",2,"Feature Request","Phone","Resolved"
"TCK0701028","2025-07-01 11:09:00.000000000","2025-07-01 23:19:00.000000000","High","Arjun",5,"Payment Failure","Chat","Resolved"
"TCK0701028","2025-07-01 11:09:00.000000000","2025-07-01 23:19:00.000000000","High","Arjun",5,"Payment Failure","Chat","Resolved"
"TCK0701029","2025-07-01 11:10:00.000000000","2025-07-02 22:37:00.000000000","Lw","Ananya",7,"Bug Report","Chat","Resolved"
"TCK0702000","2025-07-02 00:01:00.000000000","2025-07-02 02:50:00.000000000","Low","Kavya",8,"Bug Report","Chat","Resolved"
"TCK0702001","2025-07-02 00:07:00.000000000","2025-07-02 07:50:00.000000000","Medium","Ananya",8,"Feature Request","Phone","Resolved"
"TCK0702002","2025-07-02 00:16:00.000000000",\N,"Medium","Arjun",1,"Login Issue","Web Form","Open"
"TCK0702003","2025-07-02 00:43:00.000000000",\N,"Medium","Ananya",2,"Bug Report","Chat","Open"
"TCK0702004","2025-07-02 01:36:00.000000000","2025-07-03 05:21:00.000000000","Low","Rohit",6,"Payment Failure","Phone","Resolved"
"TCK0702004","2025-07-02 01:36:00.000000000","2025-07-03 05:21:00.000000000","Low","Rohit",6,"Payment Failure","Phone","Resolved"
